bdb_id	strongs	headword	type	entry
j.cp.ac	H3309	יָפִיעַ		יָפִיעַ n.pr.pers. et loc. n.pr.m. a king of Lachish a son of David n.pr.loc. on border of Zebulun
j.cp.ad	H4158	מֵיפַ֫עַת		מֵיפַ֫עַת n.pr.loc.—Levitical city in Reuben
j.cp.ae		יֶ֫פֶת		יֶ֫פֶת v. פתה
j.cp.af		יִפְתָּח		יִפְתָּח יִפְתַּח־אֵל v. פתח
j.cq.aa	H3318	יָצָא	root	יָצָא 1068 vb. go or come out Qal go or come out or forth from (מִן) a place go forth from (the presence of) a person in technical senses of flight, involving escape depart of inanimate things with especial emphasis on idea of origin, source of children as going forth from loins (of father) go forth to a place go forward, proceed to or toward something come or go forth, with esp. ref. to purpose or result of combinations Hiph. cause to go or come out, bring out, lead out fig. obj. persons, bring out of (מִן) distress, etc. bring out animals inanimate obj. fig. subj. י׳, bring forth from (מִן) Hoph. be brought forth
j.cq.ab	H3329	יָצִיא		[יָצִיא] adj. coming forth; only 2 Ch 32:21 Kt
j.cq.ac	H6631	צֶאֱצָא		[צֶאֱצָא] n.m. only pl., issue, offspring, produce
j.cq.ad	H4161	מוֹצָא		מוֹצָא n.m. place or act of going forth, issue, export, source, spring
j.cq.ae	H4162	מוֹצָא		מוֹצָא n.pr.m. son of Caleb by Ephah his concubine a descendant of Saul
j.cq.af	H4163	מוֹצָאָה		[מוֹצָאָה] n.f. only pl. (of future ruler out of Bethlehem), his origin. place of going out to, i.e. a privy
j.cq.ag	H8444	תּוֹצָאָה		[תּוֹצָאָה] n.f. outgoing, extremity, source (?), escape
j.cr.aa	H3320	יָצַב	root	[יָצַב] vb. only Hithp. set or station oneself, take one's stand
j.cs.aa	H3322	יָצַג	root	[יָצַג] vb. Hiph. set, place Hiph. set, place Hoph. be stayed, stopped, detained
j.cs.ab		יִצְהָר		יִצְהָר יִצְחָק יִצְחָר v. צהר v. צחק v. צחר
j.ct.aa	H3331	יָצַע	root	[יָצַע] vb. Hiph. lay, spread, late Hiph. lay, spread out Hoph. be laid, spread
j.ct.ab	H3326	יָצוּעַ		[יָצוּעַ] n.[m.] couch, bed (poet.)
j.ct.ac	H3326	יָצִיעַ		[יָצִיעַ] n.m. only Qr, properly flat surface, only of lower projecting story of temple
j.ct.ad	H4702	מַצָּע		מַצָּע n.m. couch, bed; Is 28:20
j.cu.aa	H3332	יָצַק	root	יָצַק vb. pour, cast, flow Qal pour, pour out cast (objects of metal) Pt.pass. as adj. fig. cast, hard, of crocodile’s scales intrans. flow, pour Hiph. pour (oil) Hoph. be poured Pt. = cast, molten Pt., fig. firmly established
j.cu.ab	H3333	יְצֻקָה		[יְצֻקָה] n.f. a casting (of metal);—1 K 7:24
j.cu.ac	H4165	מוּצָק		מוּצָק n.m. a casting
j.cu.ad	H4166	מוּצֶ֫קֶת		[מוּצֶ֫קֶת] n.f. pipe (through which oil is poured). a casting
j.cv.aa	H3335	יָצַר	root	יָצַר vb. form, fashion Qal of human activity of divine activity Niph. before me a god was not formed (created) Pu. days (that) were pre-ordained (in divine purpose) Hoph. any weapon that is formed against thee will not prosper.
j.cv.ab	H3336	יֵ֫צֶר		יֵ֫צֶר n.m. form, framing, purpose pottery, formed by the potter form of a graven image form of man as made on the dust of what is framed in the mind
j.cv.ac	H3337	יֵ֫צֶר		יֵ֫צֶר n.pr.m. son of Naphtali
j.cv.ad	H3340	יִצְרִי		יִצְרִי n.pr.m. chief of one of the Levitical choirs of singers adj.gent. c. art. = subst. coll.
j.cv.ae	H3338	יְצֻרִים		[יְצֻרִים] n.m.pl. my forms, members of my body Jb 17:7.
j.cw.aa	H3341	יָצַת	root	[יָצַת] vb. kindle, burn (intr.) Qal kindle, intr., fig. of wickedness; sq. be kindled with fire (= set on fire) Niph. be kindled; be burned; = desolated Hiph. kindle, set on fire
j.cx.aa		יקב	root	יקב (√ of foll.; comp. Ar. Arabic be sunk, depressed; Arabic hollow, cavity).
j.cx.ab	H3342	יֶ֫קֶב		יֶ֫קֶב n.m. wine-vat, sometimes also wine-press
j.cx.ac		יְקַבְצְאֵל		יְקַבְצְאֵל v. קבץ
j.cy.aa	H3344	יָקַד	root	[יָקַד] vb. be kindled, burn Qal be kindled, fig. of judgment; so burn Hoph. be burning, burn
j.cy.ab	H3350	יְקוֹד		יְקוֹד n.[m.] a burning—only Is 10:16
j.cy.ac	H4168	מוֹקֵד		מוֹקֵד n.[m.] a burning mass
j.cy.ad	H4169	מוֹקְדָה		מוֹקְדָה n.f. hearth (= place of burning), only of altar-hearth, the plate or top of altar, on which burnt-offering was laid and consumed, Lv 6:2
j.cy.ae	H3347	יָקְדְעָם		יָקְדְעָם n.pr.loc. a city of Judah Jos 15:56; site unknown
j.cz.aa		יקה	root	יקה (√ of following; cf. Ar. Arabic preserve (from evil, or fear); VIII. be pious, careful of one's religious duties (Lane 3059)).
j.cz.ab	H3348	יָקֶה		יָקֶה n.pr.m. father of Agur, Pr 30:1
j.cz.ac	H3354	יְקוּתִיאֵל		יְקוּתִיאֵל n.pr.m. a man of Judah 1 Ch 4:18
j.da.aa		יקהּ	root	יקהּ (√ of following; cf. Ar. Arabic be obedient; so As. âḳâ (וקה?) Dl HWB 123; Sab. וקה hear (favourably), hear (and answer), also in n.pr. וקהאל, יקהאל, יקהמלך DHM in MV).
j.da.ab	H3349	יִקְּהָה		[יִקְּהָה] n.f. obedience
j.da.ac		יָקוֹט		יָקוֹט קָטַט v. קוט
j.da.ad		יְקוּם		יְקוּם יְקִים יְקַמְיָה יְקַמְעָם יָקְמְעָם v. קום
j.da.ae		יְקוּתִיאֵל		יְקוּתִיאֵל v. יקה
j.da.af	H3355	יָקְטָן		יָקְטָן n.pr.m. son of Eber, descendant of Shem
j.da.ag	H3362	יָקְנְעָם		יָקְנְעָם n.pr.loc. Canaanitish city, with a king
j.db.aa	H3363	יָקַע	root	יָקַע vb. be dislocated, alienated Qal dislocated (Jacob’s thigh); elsewhere torn away, alienated from any one Hiph. of some solemn form of execution, but mng. uncertain Hoph. pass. of Hiph.
j.dc.aa	H3364	יָקַץ	root	[יָקַץ] vb. awake
j.dd.aa	H3365	יָקַר	root	[יָקַר] vb. be precious, prized, appraised Qal be precious be appraised Hiph. I will make men more rare (lit. precious) than fine gold
j.dd.ab	H3368	יָקָר		יָקָר adj. precious, rare, splendid, weighty
j.dd.ac	H3366	יְקָר		יְקָר n.m. preciousness, price, honour
j.dd.ad	H3357	יַקִּיר		יַקִּיר adj. intrans. very precious, dear; only Je 31:20
j.de.aa	H3369	יָקֹשׁ	root	[יָקֹשׁ] vb. lay a bait or lure, then gen. lay snares Qal lay snares; Pt. as subst. bait-layers, fowlers Niph. be caught by bait, ensnared Pu. entrapped
j.de.ab	H3352	יָקוֹשׁ		יָקוֹשׁ n.[m.] bait-layer, fowler, Ho 9:8
j.de.ac	H3353	יָקוּשׁ		יָקוּשׁ n.[m.] id. [יָקוֹשׁ]
j.de.ad	H4170	מוֹקֵשׁ		מוֹקֵשׁ n.m. prop. a bait or lure in a fowler's net; then fig. a snare
j.de.ae	H3370	יָקְשָׁן		יָקְשָׁן n.pr.m. son of Abraham and Keturah
j.de.af	H3371	יָקְתְאֵל		יָקְתְאֵל n.pr.loc. in the Shephelah of Judah name given to סֶלַע (= Petra) by King Amaziah, its captor
j.df.aa	H3372	יָרֵא	root	יָרֵא vb. fear Qal fear, be afraid stand in awe of fear, reverence, honour Niph. be fearful, dreadful cause astonishment and awe inspire reverence, godly fear, and awe Piel. make afraid, terrify
j.df.ab	H3373	יָרֵא		יָרֵא adj. verb. v. supr. [j.df.aa] Pt.
j.df.ac	H3374	יִרְאָה		יִרְאָה n.f. fear fear, terror a terror = obj. of terror fear of God, reverence, piety the fear of י׳ the law as revered.
j.df.ad	H3375	יִרְאוֹן		יִרְאוֹן n.pr.loc. city in Naphtali Jos 19:38
j.df.ae	H4172	מוֹרָא		מוֹרָא n.m. fear fear, terror reverence object of reverence, esp. God awe-inspiring spectacle or deed
j.df.af	H4172	מוֹרָה		מוֹרָה n.[m.] ψ 9:21, prob. appoint terror (i.e. some awe-inspiring exhibition of power) for them
j.df.ag	H8493	תִּֽירְיָא		תִּֽירְיָא n.pr.m. (in Judah) 1 Ch 4:16
j.dg.aa	H3384	יָרָא	root	[יָרָא] vb. shoot, pour Qal shoot with arrows Hiph. and they shot at; Pt. pl. the shooters, archers Hoph. he that watereth shall himself also be watered
j.dg.ab		יִרְאִיָּי֯ה		יִרְאִיָּי֯ה v. ראה
j.dg.ac		יָרֵב		יָרֵב יְרֻבַּ֫עַל יָרָבְעָם יְרֻבֶּ֫שֶׁת v. ריב
j.dh.aa	H3381	יָרַד	root	יָרַד 380 vb. come or go down, descend Qal 306 come or go down go down (usu. from mountain or hill-country into plain), to battle go down to (acc.) threshing-floor go down (abs.) from Palestine to Egypt from Jerusalem from altar go down = sink, in water go down to She’ôl fig. going down (dissolving) in tears = be prostrated of divine manifestations: descend of inanimate things Hiph. cause to come or go down bring down send down rain = cause to flow down = lay prostrate to (acc.) threshing-floor bring down to She’ôl take down (from cart) let down Hoph. be brought down be taken down
j.dh.ab	H3382	יֶ֫רֶד		יֶ֫רֶד n.pr.m. son of Mehall’ēl, fourth generation from Seth man of Judah
j.dh.ac	H4174	מוֹרָד		מוֹרָד n.[m.] descent, slope
j.dh.ad	H3383	יַרְדֵן		יַרְדֵן 182 n.pr.fl. Jordan
j.di.aa	H3384	יָרָה	root	יָרָה vb. throw, shoot Qal throw, cast cast (= lay, set), corner-stone; pillar shoot arrows throw water, rain Niph. shot through (with arrows) Hiph. throw, cast shoot (arrows) throw water, rain point out, shew direct, teach, instruct
j.di.ab	H3139	יוֹרָה		יוֹרָה n.pr.m. one of the families of the restoration
j.di.ac	H3138	יוֹרֶה		יוֹרֶה n.[m.] early rain, which falls in Palestine from the last of October to the first of December
j.di.ad	H4175	מוֹרֶה		מוֹרֶה n.m. (early) rain
j.di.ae	H4176	מוֹרֶה		מוֹרֶה n.m. teacher
j.di.af	H8452	תּוֹרָה		תּוֹרָה n.f. direction, instruction, law instruction law (prop. direction) custom, manner
j.di.ag	H3140	יוֹרַי		יוֹרַי (whom Yah teacheth) n.pr.m. chief of tribe of Gad 1 Ch 5:13
j.di.ah	H3385	יְרוּאֵל		יְרוּאֵל (founded of Ēl) n.pr.loc. 2 Ch 20:16, not identified, prob. part of wilderness of Judah, near Ziz
j.di.ai	H3400	יְרִיאֵל		יְרִיאֵל n.pr.m. chief of tribe of Issachar, 1 Ch 7:2
j.di.aj	H3404	יְרִיָּהוּ		יְרִיָּהוּ n.pr.m. chief of one of the Levitical courses
j.dj.aa		יָרַהּ	root	[יָרַהּ] vb. only Qal Is 44:8; ? be stupified
j.dj.ab	H3389	יְרוּשָׁלִַ֫͏ם		יְרוּשָׁלִַ֫͏ם, יְרוּשָׁלַ֫יִם 644 n.pr.loc. Jerusalem
j.dk.aa		ירח	root	ירח (√ of foll.; meaning dub.; acc. to MV Buhl = ארח, of moon as wanderer, so Lag BN 46).
j.dk.ab	H3394	יָרֵחַ		יָרֵחַ n.m. moon, esp. poet.
j.dk.ac	H3391	יֶ֫רַח		יֶ֫רַח n.m. month
j.dk.ad	H3392	יֶ֫רַח		[יֶ֫רַח] n.pr.m. ‘son’ of Joktan
j.dk.ae	H3386	יָרוֹחַ		יָרוֹחַ n.pr.m. a Gadite, 1 Ch 5:14
j.dk.af		יְרֵחוֹ		יְרֵחוֹ v. יְרִיחוֹ
j.dk.ag		יְרֹחָם		יְרֹחָם יִרַחְמְאֵל v. רחם
j.dk.ah	H3398	יַרְחָע		יַרְחָע n.pr.m. an Egyptian slave
j.dl.aa	H3399	יָרַט	root	יָרַט vb. be precipitate, precipitate (trans.)
j.dl.ab	H3405	יְרִיחוֹ		יְרִיחוֹ, יְרִיחֹה, יְרֵחוֹ 57 n.pr.loc. Jericho
j.dm.aa		ירך	root	ירך (√ of foll.; meaning dubious).
j.dm.ab	H3409	יָרֵךְ		יָרֵךְ n.f. thigh, loin, side,
j.dm.ac	H3411	יַרְכָה		[יַרְכָה, or יְרֵכָה] flank, side, du. extreme parts, recesses
j.dm.ad	H3412	יַרְמוּת		יַרְמוּת n.pr.loc. Canaanitish city, with a king, named between Hebron and Lachish Levitical city in Issachar
j.dm.ae	H3413	יְרֵמַי		יְרֵמַי n.pr.m. one of those who had strange wives Ezr 10:33
j.dm.af	H3406	יְרֵימוֹת		יְרֵימוֹת, יְרֵמוֹת, יְרִימוֹת n.pr.m. Benjamites Levites Naphtalite son of David and father of Rehoboam’s wife men who had strange wives
j.dm.ag		יִרְמְיָהוּ		יִרְמְיָהוּ יִרְמְיָה v. רמה
j.dn.aa	H3415	יָרַע	root	[יָרַע] vb. quiver—Qal Is 15:4
j.dn.ab	H3407	יְרִיעָה		יְרִיעָה 54 n.f. curtain
j.dn.ac	H3408	יְרִיעוֹת		יְרִיעוֹת n.pr.m. (?) only 1 Ch 2:18
j.dn.ad		יִרְפְּאֵל		יִרְפְּאֵל v. רפא
j.do.aa		ירק	root	ירק (√ of foll.; NH Hiph.; Aram. Aph. אֹורִיק grow green; Syriac be pale, and deriv.; As. arâḳu, grow pale (of face), arḳu, yellow, green, etc., Dl HWB 243; Ar. Arabic leaf, Arabic put forth leaves, cf. Arabic ash-colour, Arabic dusky-white, of camel, Arabic silver coin Lag BN 30; Sab. ורק gold (כתס וורק), Hal ÉS, JAs, Déc. 1874. Nos. 47, 97 DHM VOJ 1.26f., and Eth. Ethiopic gold, both from colour acc. to DHM Di).
j.do.ab	H3418	יֶ֫רֶק		יֶ֫רֶק n.m. green, greenness
j.do.ac	H3419	יָרָק		יָרָק n.[m.] herbs (coll.), herbage (green, greens)
j.do.ad		יַרְקוֹן		יַרְקוֹן מֵי הַיַּרְקוֹן v. מַי
j.do.ae	H3387	יָרוֹק		יָרוֹק n.[m.] green thing (= יָרָק), only as food of wild ass Jb 39:8.
j.do.af	H3420	יֵרָקוֹן		יֵרָקוֹן n.m. mildew, paleness, lividness
j.do.ag	H3422	יְרַקְרַק		יְרַקְרַק adj. greenish, pale-green
j.do.ah	H3421	יָרְקְעָ֑ם		יָרְקְעָ֑ם n.pr.m. a name in Judah 1 Ch 2:44
j.dp.aa	H3417	יָרַק	root	יָרַק vb. spit
j.dq.aa	H3423	יָרַשׁ	root	יָרַשׁ 229 vb. take possession of, inherit, dispossess Qal take possession of, esp. bu force, have as a possession, often with collat. idea of taking in place of others, succeeding to, inheriting inherit, sq. acc. pers. = be one's heir = impoverish Niph. be (dispossessed =) impoverished, come to poverty Pi. the fruit of thy ground shall the cricket get full possession Hiph. cause to possess or inherit cause (others) to possess or inherit, then gen. dispossess = impoverish nearly = bring to ruin, destroy take possession of a land
j.dq.ab	H3424	יְרֵשָׁה		יְרֵשָׁה n.f. a possession, used of nation Nu 24:18 (J E).
j.dq.ac	H3388	יְרוּשָׁא		יְרוּשָׁא, יְרוּשָׁה n.pr.f. (taken possession of, i.e. married?) mother of king Jotham
j.dq.ad	H3425	יְרֻשָּׁה		יְרֻשָּׁה n.f. (a) possession, inheritance
j.dq.ae	H7568	רֶ֫שֶׁת		רֶ֫שֶׁת n.f. net net brazen network for altar of tabern.
j.dq.af	H4180	מוֹרָשׁ		[מוֹרָשׁ] n.[m.] a possession
j.dq.ag	H4181	מוֹרָשָׁה		מוֹרָשָׁה n.f. a possession
j.dq.ah	H4182	מוֹרֶ֫שֶׁת		מוֹרֶ֫שֶׁת n.pr.loc. apparently in neighbourhood of Gath Mi 1:14; prob. home of prophet Micah
j.dq.ai	H4183	מ(וֹ)רַשְׁתִּי		מ(וֹ)רַשְׁתִּי adj.gent. only Mi 1:1, Je 26:18; v. foregoing [j.dq.ah].
j.dq.aj	H8492	תִּירוֹשׁ		תִּירוֹשׁ n.m. must, fresh or new wine
j.dr.aa	H3455	יָשַׂם	root	[יָשַׂם] vb. Impf. וַיִּישֶׂם Gn 50:26, and so 24:33 Kt, v. שׂום, שׂים
j.dr.ab		יִשְׂרָאֵל		יִשְׂרָאֵל v. שׂרה
j.dr.ac	H3480	יְשַׂרְאֵ֫לָה		יְשַׂרְאֵ֫לָה n.pr.m. a son of Asaph
j.dr.ad	H3485	יִשָּׂשכָר		יִשָּׂשכָר 43 n.pr.m. Issachar
j.dr.ae	H3426	יֵשׁ		יֵשׁ 137 subst. being, substance, existence substance elsewhere (prop. as a subst. in in the st. c.), it asserts existence, and so corresponds to the verb substantive, is (are, was, were, will be), lit. the being, presence of …
j.ds.aa	H3427	יָשַׁב	root	יָשַׁב 1090 vb. sit, remain, dwell Qal sit sit, sit down sit down sit = be set (as a jewel) remain, stay, tarry with special emphasis of qualifying phr. dwell, have one’s abode of a land or city, sit, abide, seated in its place, fig. for be inhabited Niph. be inhabited, of land Pi. and they shall set their encampments in thee Hiph. cause to sit cause to abide cause to dwell cause cities to be inhabited marry (prop. give a dwelling to) Hoph. and ye be made to dwell alone in the midst of the land
j.ds.ab	H7675	שֶׁ֫בֶת		שֶׁ֫בֶת n.f. seat, dwelling, place
j.ds.ac	H7871	שִׁיבָה		[שִׁיבָה] n.f. sojourn—only 2 S 19:33
j.ds.ad	H3428	יֶֽשֶׁבְאָב		יֶֽשֶׁבְאָב n.pr.m. Levite of the 14th course 1 Ch 24:13
j.ds.ae	H3429	יֹשֵׁב בַּשֶּׁ֫בֶת		יֹשֵׁב בַּשֶּׁ֫בֶת n.pr.m. one of David’s heroes 2 S 23:8
j.ds.af	H3430	יִשְׁבּוֹ בְּנֹב		יִשְׁבּוֹ בְּנֹב Kt, יִשְׁבִּי בְּנֹב Qr, n.pr.m. a gigantic Philistine
j.ds.ag	H3436	יָשְׁבְּקָ֫שָׁה		יָשְׁבְּקָ֫שָׁה n.pr.m. a son of Heman
j.ds.ah	H3143	יוֹשִׁבְיָה		יוֹשִׁבְיָה n.pr.m. (י׳ setteth, causeth to dwell)—a Simeonite 1 Ch 4:35
j.ds.ai	H4186	מוֹשָׁב		מוֹשָׁב n.m. seat, assembly, dwelling-place, dwelling, dwellers seat sitting = those sitting, sitting company or assembly dwelling-place of people, tribe, etc. alm. = abstr. dwelling = house situation of city; location of image time of dwelling coll. = those dwelling
j.ds.aj	H8453	תּוֹשָׁב		תּוֹשָׁב n.m. sojourner
j.ds.ak		יִשְׁבָּח		יִשְׁבָּח v. שׁבח
j.ds.al		יָשֻׁבִי		יָשֻׁבִי יָשָׁבְעָם v. שׁוב
j.ds.am		יִשְׁבָּק		יִשְׁבָּק v. שׁבק
j.dt.aa		ישׁה	root	ישׁה (√ of following; meaning uncertain; acc. to Fl De Pr 2. 7 = Ar. Arabic, III. Arabic, var. Arabic, assist, support: but this dubious; v. Lane 60 (cf. Wetzst ZDMG 1868, 119) acc. to whom this is a second. sense from to make equal (viz. by giving to another of one's own property, etc.))
j.dt.ab	H8454	תּוּשִׁיָּה		תּוּשִׁיָּה n.f. sound, efficient wisdom, abiding success
j.dt.ac	H3144	יוֹשָׁה		יוֹשָׁה n.pr.m. a Simeonite 1 Ch 4:34
j.dt.ad	H3145	יוֹשַׁוְיָה		יוֹשַׁוְיָה n.pr.m. one of David’s heroes 1 Ch 11:46
j.dt.ae		יָשׁוּב		יָשׁוּב v. שׁוב
j.dt.af		יִשְׁוָה		יִשְׁוָה v. שׁוה
j.dt.ag		יְשׁוֹחָיָה		יְשׁוֹחָיָה v. שׁוח
j.dt.ah		יִשְׁוִי		יִשְׁוִי v. שׁוה
j.dt.ai		יֵשׁוּע		יֵשׁוּע v. יְהוֹשׁוּעַ
j.du.aa		ישׁח	root	ישׁח (√ of following, si vera l.)
j.du.ab	H3445	יֶ֫שַׁח		[יֶ֫שַׁח] n.[m.] ? emptiness (of hunger), meaning conjectured from text; Mi 6:14
j.dv.aa	H3447	יָשַׁט	root	[יָשַׁט] vb. only Hiph. Impf. extend, hold out (late)
j.dv.ab	H3448	יִשַׁי		יִשַׁי 41 n.pr.m. father of David
j.dv.ac		יָשִׁיב		יָשִׁיב v. יָשׁוּב sub. שׁוב
j.dv.ad		יִשִּׁיָּה(וּ)		יִשִּׁיָּה(וּ) v. נשׁה
j.dw.aa	H3456	יָשַׁם	root	[יָשַׁם] vb. be desolate
j.dw.ab	H3451	יְשִׁימָה		[יְשִׁימָה] n.f. desolation, only intens. pl. ψ 55:16 Kt
j.dw.ac	H3452	יְשִׁימוֹן		יְשִׁימוֹן n.m. waste, wilderness
j.dw.ad	H3457	יִשְׁמָא		יִשְׁמָא n.pr.m. a name in Judah 1 Ch 4:3
j.dw.ae		יִשְׁמָעֵאל		יִשְׁמָעֵאל יִשְׁמַעְיָה(וּ) v. שׁמע
j.dw.af		יִשְׁמְרָי		יִשְׁמְרָי v. שׁמר
j.dx.aa	H3462	יָשֵׁן	root	[יָשֵׁן] vb. sleep Qal sleep, go to sleep, and be sleep Niph. only in deriv. sense of become inactive or stationary Pi. causat. she made him sleep
j.dx.ab	H3463	יָשֵׁן		יָשֵׁן adj. sleeping
j.dx.ac	H3464	יָשֵׁן		יָשֵׁן n.pr.m. one of David’s heroes
j.dx.ad	H3465	יָשָׁן		יָשָׁן adj. old (orig., as it seems, withered, flabby, like a lifeless plant with top hanging down, as if in sleep)
j.dx.ae	H3466	יְשָׁנָה		יְשָׁנָה n.pr.loc. town on southern border of N. Israel, near Bethel
j.dx.af	H8142	שֵׁנָה		שֵׁנָה, שֵׁנָא, שֵׁנָת n.f. sleep
j.dy.aa	H3467	יָשַׁע	root	[יָשַׁע] vb. Hiph. deliver; Niph. intrans. and pass. Niph. be liberated, saved (prop. placed in freedom) be saved in battle, victorious Hiph. deliver, save (prop. give width and breadth to, liberate) save from moral troubles give victory to
j.dy.ab	H3468	יֵ֫שַׁע		יֵ֫שַׁע n.m. deliverance, rescue, salvation, also safety, welfare safety, welfare, prosperity salvation, i.e. primarily physical rescue, by God, oft. with added spiritual idea victory
j.dy.ac	H3444	יְשׁוּעָה		יְשׁוּעָה n.f. salvation welfare, prosperity deliverance salvation by God, primarily from external evils, but often with added spiritual idea victory
j.dy.ad	H7771	שׁוֹעַ		שׁוֹעַ adj. (free), independent, noble (in station)
j.dy.ae	H7770	שׁוּעַ		שׁוּעַ n.pr.m. father of Judah’s wife
j.dy.af	H7769	שׁוּעַ		שׁוּעַ n.[m.] opulence ?
j.dy.ag	H7774	שׁוּעָא		שׁוּעָא n.pr.f. a woman of Asher 1 Ch 7:32
j.dy.ah	H3469	יִשְׁעִי		יִשְׁעִי n.pr.m. (salutary) one of the line of Jerahmeel a chief of Manasseh a chief of Judah a chief of Simeon
j.dy.ai	H3470	יְשַׁעְיָ֫הוּ		יְשַׁעְיָ֫הוּ n.pr.m. (salvation of Yah) Isaiah, son of ’Amôṣ, the prophet one of the children of Jeduthun a Levite ancestor of one of David's treasurers
j.dy.aj	H3470	יְשַׁעְיָה		יְשַׁעְיָה n.pr.m. (salvation of Yah) grandson of Zerubbabel chief of the sons of Elam, who went up with Ezra chief of sons of Merari in time of Ezra a Benjamite
j.dy.ak	H1954	הוֹשֵׁעַ		הוֹשֵׁעַ n.pr.m. (salvation) orig. name of Joshua last king of Israel the prophet Hosea an Ephraimite chief under David a chief under Nehemiah
j.dy.al	H1955	הוֹשַׁעֲיָה		הוֹשַׁעֲיָה n.pr.m. (Yah has saved) a prince of Judah father of Azariah or Jezaniah, a chief in time of Jeremiah
j.dy.am		יְהוֹשֻׁעַ		יְהוֹשֻׁעַ יֵשׁוּעַ v.
j.dy.an	H4190	מוֹשָׁעָה		[מוֹשָׁעָה] n.f. only pl. saving acts ψ 68:21.
j.dy.ao	H4338	מֵישַׁע		מֵישַׁע n.pr.m. (deliverance)—Mesha, king of Moab 2 K 3:4
j.dy.ap	H4337	מֵישָׁע		מֵישָׁע n.pr.m. (deliverance)—son of Caleb 1 Ch 2:42
j.dy.aq	H8668	תְּשׁוּעָה		תְּשׁוּעָה († תְּשֻׁעָה 2 S 19:3) n.f. deliverance, salvation
j.dy.ar	H3471	יָֽשְׁפֶה		יָֽשְׁפֶה n.[m.] jasper (loan-word from Pers. Persian)
j.dy.as		יִשְׁפָּה		יִשְׁפָּה v. שׁפה
j.dy.at		יִשְׁפָּן		יִשְׁפָּן v. שׁפן
j.dz.aa	H3474	יָשַׁר	root	יָשַׁר vb. be smooth, straight, right Qal go straight fig., be pleasing, agreeable, right in ethical sense, straightforward, upright Pi. make smooth, straight lead straight along, direct esteem right, approve Pu. gold made level, laid smoothly out, upon the graven work Hiph. let thine eyelids look straight before thee
j.dz.ab	H3477	יָשָׁר		יָשָׁר adj. straight, right straight, level right, pleasing straightforward, just, upright abstr., uprightness
j.dz.ac	H3476	יֹ֫שֶׁר		יֹ֫שֶׁר n.m. straightness, uprightness straightness, evenness, of paths rightness, uprightness what is due, right
j.dz.ad	H3475	יֶ֫שֶׁר		יֶ֫שֶׁר n.pr.m. (uprightness) son of Caleb 1 Ch 2:18
j.dz.ae	H3483	יְשָׁרָה		[יְשָׁרָה] n.f. uprightness;—1 K 3:6
j.dz.af	H3484	יְשֻׁרוּן		יְשֻׁרוּן n.pr.m. (upright one); poetic name of Israel, designating it under its ideal character
j.dz.ag	H4339	מֵישָׁר		[מֵישָׁר] n.m. evenness, uprightness, equity
j.dz.ah	H4334	מִישׁוֹר		מִישׁוֹר n.m. level place, uprightness
j.dz.ai	H8289	שָׁרוֹן		שָׁרוֹן n.pr.loc. Sharon (with art.), name of maritime plain on Mediterr., fr, Joppa northward, noted for fertility region E. of Jordan
j.dz.aj	H8290	שָׁרוֹנִי		שָׁרוֹנִי adj.gent. 1 Ch 27:29.
j.ea.aa		ישׁשׁ	root	ישׁשׁ (√ of foll.; cf. Ar. Arabic weak or impotent man, Arabic weakness, impotence, Lane 2919).
j.ea.ab	H3486	יָשֵׁשׁ		יָשֵׁשׁ adj. aged, decrepit, only 2 Ch 36:17
j.ea.ac	H3453	יָשִׁישׁ		יָשִׁישׁ adj. aged, only Jb
j.ea.ad	H3454	יְשִׁישַׁי		יְשִׁישַׁי n.pr.m. a Gileadite man 1 Ch 5:14.
j.eb.aa		יתד	root	יתד (√ of foll.; mng. dub.; Ar. Arabic, drive in peg, be firm (of peg), is appar. denom.)
j.eb.ab	H3489	יָתֵד		יָתֵד n.f. pin, peg
j.eb.ac		יְתוּר		יְתוּר v. תור
j.eb.ad		יִתְלָה		יִתְלָה v. תלה
j.ec.aa		יתח	root	יתח (assumed by Thes as √ of foll.; cf. Ar. Arabic beat with a club, chastise; Arabic club; Ba NB 294 der. תותח as loan-word fr. As. tartaḫu = club (or javelin, cf. Dl HWB 630)).
j.ec.ab	H8455	תּוֹתָ֑ח		תּוֹתָ֑ח n.m. name of a weapon, perh. club, mace;—Jb 41:21.
j.ed.aa		יתם	root	יתם (√ of foll.; cf. Ar. Arabic, Arabic be alone, bereaved, Aram. adj. and subst. Syriac, 𝔗 יִתָּם = יָתֹום; vid. Lag BN 30 Ba NB 194).
j.ed.ab	H3490	יָתוֹם		יָתוֹם n.[m.] orphan
j.ed.ac	H3495	יִתְמָה		יִתְמָה n.pr.m. one of David’s valiant men, 1 Ch 11:46
j.ee.aa		יתן	root	יתן (√ of foll.; cf. Ar. Arabic be perpetual, never-failing, esp. of water, Arabic a permanent thing: Ph. ירח אתנם CIS I. i. 86 A; W P6BA 1886 (ix), 47).
j.ee.ab	H0386	אֵיתָן		אֵיתָן, אֵתָן adj. perennial, ever-flowing, fig. permanent, as subst, steady flow, permanence
j.ee.ac	H0387	אֵיתָן		אֵיתָן n.pr.m. a wise man
j.ee.ad		יַתְנִיאֵל		יַתְנִיאֵל v. תנה
j.ee.ae	H3497	יִתְנָ֑ן		יִתְנָ֑ן n.pr.loc. (etym. dub.) city in the Negeb of Judah Jos 15:23
